trial,mode,cand_label,cand_value,lockin_I,lockin_Q,lockin_mag,temp_c,route
26,same_candidate,c0,82,0.088309525,-0.240277191,0.255991602,44.1,4:5
26,same_candidate,c0,82,0.079465281,-0.284629570,0.295514336,44.1,4:5
27,same_candidate,c0,116,0.071956790,-0.203224092,0.215587131,44.0,4:5
27,same_candidate,c0,116,0.088543731,-0.201858584,0.220424318,44.0,4:5
28,same_candidate,c0,17,0.054348559,-0.207219053,0.214227687,44.1,4:5
28,same_candidate,c0,17,0.044822935,-0.208269336,0.213038052,44.1,4:5
29,same_candidate,c0,100,0.096012996,-0.218571192,0.238729683,44.5,4:5
29,same_candidate,c0,100,0.119331938,-0.227186645,0.256620114,44.5,4:5
30,same_candidate,c0,73,0.061757031,-0.261954904,0.269136216,44.5,4:5
30,same_candidate,c0,73,0.096760784,-0.242083453,0.260704905,44.5,4:5
31,same_candidate,c0,82,0.059161022,-0.249262956,0.256187524,44.0,4:5
31,same_candidate,c0,82,0.062170454,-0.226064171,0.234457191,44.0,4:5
32,same_candidate,c0,59,0.025980830,-0.221975628,0.223490901,44.2,4:5
32,same_candidate,c0,59,0.042804632,-0.220776683,0.224887929,44.2,4:5
33,same_candidate,c0,66,0.074520288,-0.219768538,0.232059224,44.5,4:5
33,same_candidate,c0,66,0.058379606,-0.230733036,0.238004018,44.5,4:5
34,same_candidate,c0,115,0.067563788,-0.241989456,0.251244427,44.5,4:5
34,same_candidate,c0,115,0.069283184,-0.249439207,0.258882362,44.5,4:5
35,same_candidate,c0,31,0.058434354,-0.274806842,0.280950839,44.5,4:5
35,same_candidate,c0,31,0.078301646,-0.251439833,0.263349839,44.5,4:5
36,same_candidate,c0,87,0.094185580,-0.252294176,0.269301458,44.2,4:5
36,same_candidate,c0,87,0.050279827,-0.218149378,0.223868739,44.2,4:5
37,same_candidate,c0,65,0.071009237,-0.226984924,0.237832856,44.6,4:5
37,same_candidate,c0,65,0.090230762,-0.248951933,0.264799274,44.6,4:5
38,same_candidate,c0,127,0.092854429,-0.198926292,0.219530442,44.5,4:5
38,same_candidate,c0,127,0.092795901,-0.250942945,0.267550819,44.5,4:5
39,same_candidate,c0,47,0.109798616,-0.239513680,0.263481572,44.5,4:5
39,same_candidate,c0,47,0.074138528,-0.235726883,0.247110673,44.5,4:5
40,same_candidate,c0,120,0.109404556,-0.207108662,0.234229278,44.5,4:5
40,same_candidate,c0,120,0.082076806,-0.197980553,0.214319624,44.5,4:5
41,same_candidate,c0,75,0.079869280,-0.184917715,0.201429052,44.8,4:5
41,same_candidate,c0,75,0.052508613,-0.237128319,0.242872383,44.8,4:5
0,dummy,c0,42,0.075158590,-0.206605286,0.219851217,44.5,4:5
0,dummy,c0,42,0.118396362,-0.228442008,0.257300310,44.5,4:5
1,dummy,c0,42,0.076868309,-0.267496564,0.278322023,44.5,4:5
1,dummy,c0,42,0.047389346,-0.265203216,0.269403964,44.5,4:5
2,dummy,c0,42,0.075184634,-0.216842970,0.229507304,44.4,4:5
2,dummy,c0,42,0.057548692,-0.231279602,0.238331924,44.4,4:5
3,dummy,c0,42,0.055648133,-0.210948090,0.218164643,44.5,4:5
3,dummy,c0,42,0.024428545,-0.229665580,0.230961106,44.5,4:5
4,dummy,c0,42,0.057937943,-0.245677100,0.252416407,44.5,4:5
4,dummy,c0,42,0.076323034,-0.227863109,0.240305643,44.5,4:5
5,dummy,c0,42,0.077131955,-0.238901256,0.251044117,44.5,4:5
5,dummy,c0,42,0.060136644,-0.239537364,0.246970777,44.5,4:5
6,dummy,c0,42,0.080631732,-0.272987670,0.284646700,44.5,4:5
6,dummy,c0,42,0.097446809,-0.215949799,0.236918122,44.5,4:5
7,dummy,c0,42,0.043599588,-0.242582990,0.246469940,44.5,4:5
7,dummy,c0,42,0.092175981,-0.212910675,0.232007257,44.5,4:5
8,dummy,c0,42,0.058110431,-0.213200595,0.220978089,44.5,4:5
8,dummy,c0,42,0.076150132,-0.215521799,0.228579283,44.5,4:5
9,dummy,c0,42,0.079377770,-0.236618152,0.249577603,44.5,4:5
9,dummy,c0,42,0.086864362,-0.266628457,0.280421382,44.5,4:5
10,dummy,c0,42,0.083203422,-0.226936538,0.241708505,44.5,4:5
10,dummy,c0,42,0.075481669,-0.236767135,0.248507864,44.5,4:5
11,dummy,c0,42,0.059253039,-0.222192766,0.229957709,44.5,4:5
11,dummy,c0,42,0.064007681,-0.209478003,0.219038848,44.5,4:5
12,dummy,c0,42,0.052764899,-0.234489557,0.240352838,44.4,4:5
12,dummy,c0,42,-0.017379733,-0.242012424,0.242635670,44.4,4:5
13,dummy,c0,42,0.083948094,-0.236888425,0.251323314,44.5,4:5
